"Date","Country","City","Specie","count","min","max","median","variance"
"2015-04-15","VN","Huế","so2",24,0.1,71.4,0.1,2105.77
"2015-01-14","VN","Huế","so2",24,0.3,66.3,1.2,1764.56
"2015-02-03","VN","Huế","so2",24,1.2,67.1,3.1,1715.92
"2015-02-15","VN","Huế","so2",24,0.5,67.5,1.3,1827.27
"2015-03-03","VN","Huế","so2",24,0.1,1.9,0.1,3.18
"2015-04-02","VN","Huế","so2",24,0.1,70.5,0.1,2064.31
"2015-06-28","VN","Huế","so2",24,0.1,74.2,0.1,2283.71
"2015-03-09","VN","Huế","so2",24,0.1,1.3,0.2,0.83
"2015-03-27","VN","Huế","so2",24,0.1,70.4,1.9,1994.38
"2015-04-11","VN","Huế","so2",24,0.1,71,0.3,2073.64
"2015-01-01","VN","Huế","so2",18,0.1,1.2,0.1,2.02
"2015-03-04","VN","Huế","so2",21,0.1,217,0.6,65875.5
"2015-03-15","VN","Huế","so2",24,0.1,69.3,1.2,1930.63
"2015-03-26","VN","Huế","so2",24,0.1,70.3,0.1,2041.58
"2015-01-06","VN","Huế","so2",22,0.1,65.7,0.1,1947.55
"2015-03-25","VN","Huế","so2",24,0.1,70.3,0.1,2042.02
"2015-03-30","VN","Huế","so2",16,0.1,70.5,0.1,3097.6
"2015-04-13","VN","Huế","so2",24,0.1,71.5,0.1,2107.67
"2015-05-18","VN","Huế","so2",24,0.1,73.3,1.1,2181.95
"2015-06-15","VN","Huế","so2",24,0.1,74.2,0.2,2268.53
"2015-03-06","VN","Huế","pm25",24,63,135,90,5549.55
"2015-03-26","VN","Huế","pm25",24,52,76,60,323.46
"2015-04-06","VN","Huế","pm25",24,63,124,82,2337.39
"2015-06-02","VN","Huế","pm25",24,24,83,55,2580.22
"2015-06-14","VN","Huế","pm25",24,32,86,51,1860.85
"2015-01-17","VN","Huế","pm25",24,96,151,120,1439.71
"2015-01-19","VN","Huế","pm25",24,90,153,120,2897.81
"2015-03-01","VN","Huế","pm25",24,55,94,63,1878.68
"2015-01-23","VN","Huế","pm25",24,92,162,151,6935.58
"2015-01-25","VN","Huế","pm25",24,91,167,136,5413.03
"2015-02-06","VN","Huế","pm25",24,13,140,41,16498
"2015-04-04","VN","Huế","pm25",24,72,130,86,2107.66
"2015-04-13","VN","Huế","pm25",24,76,121,97,1766.67
"2015-01-31","VN","Huế","pm25",24,64,340,73,46706.7
"2015-02-25","VN","Huế","pm25",24,56,100,72,1485.8
"2015-04-02","VN","Huế","pm25",24,71,151,83,5644.76
"2015-03-28","VN","Huế","pm25",24,45,90,67,1460.58
"2015-03-31","VN","Huế","pm25",24,59,127,77,3581.58
"2015-04-05","VN","Huế","pm25",24,70,114,86,1410.85
"2015-06-21","VN","Huế","pm25",24,35,73,60,1345.8
"2015-02-15","VN","Huế","pm25",24,91,160,108,5172.16
"2015-03-07","VN","Huế","pm25",24,56,133,72,3284.93
"2015-03-11","VN","Huế","pm25",24,53,116,68,2804.62
"2015-03-12","VN","Huế","pm25",24,45,118,66,3389.98
"2015-05-06","VN","Huế","pm25",24,48,143,75,9996.23
"2015-05-19","VN","Huế","pm25",16,33,92,51,2246.62
"2014-12-29","VN","Huế","pm25",9,111,154,142,2449.44
"2015-01-27","VN","Huế","pm25",9,74,123,89,2650
"2015-02-12","VN","Huế","pm25",24,77,144,103,4242.54
"2015-05-08","VN","Huế","pm25",24,46,174,85,19075.7
"2015-06-05","VN","Huế","pm25",19,31,70,46,1148.13
"2015-01-05","VN","Huế","pm25",24,48,163,71,10305.8
"2015-01-07","VN","Huế","pm25",24,39,70,57,574.49
"2015-05-05","VN","Huế","pm25",18,46,120,58,3967.32
"2015-02-21","VN","Huế","pm25",24,54,85,65,908.7
"2015-03-02","VN","Huế","pm25",24,50,130,59,6516.23
"2015-06-07","VN","Huế","pm25",18,27,69,50,1580.65
"2015-06-18","VN","Huế","pm25",24,18,70,34,1815.58
"2015-07-01","VN","Huế","pm25",24,25,78,41,1909.55
"2015-01-01","VN","Huế","pm25",18,78,155,119,7317.52
"2015-01-18","VN","Huế","pm25",24,108,161,144,2319.84
"2015-01-28","VN","Huế","pm25",24,63,153,89,6092.75
"2015-05-14","VN","Huế","pm25",24,24,105,55,2653.03
"2015-06-01","VN","Huế","pm25",12,45,82,58,1248.79
"2015-06-13","VN","Huế","pm25",22,30,73,43,1508.23
"2015-07-04","VN","Huế","pm25",24,51,74,55,480
"2015-02-02","VN","Huế","pm25",24,63,88,68,549.57
"2015-03-05","VN","Huế","pm25",24,79,135,99,1669.78
"2015-03-16","VN","Huế","pm25",24,81,158,104,4266.3
"2015-02-20","VN","Huế","pm25",24,51,83,60,936.07
"2015-03-29","VN","Huế","pm25",22,54,91,72,1153.07
"2015-05-09","VN","Huế","pm25",23,46,157,72,7959.76
"2015-06-11","VN","Huế","pm25",24,29,65,44,864.18
"2015-06-25","VN","Huế","pm25",24,31,72,50,1048.62
"2015-01-02","VN","Huế","pm25",24,80,149,119,4269.11
"2015-01-03","VN","Huế","pm25",24,111,153,135,2149.55
"2015-01-10","VN","Huế","pm25",24,17,94,58,2429.11
"2015-07-02","VN","Huế","pm25",24,36,90,53,1641.29
"2015-06-16","VN","Huế","pm25",24,40,81,57,1280.27
"2015-06-29","VN","Huế","pm25",24,26,86,50,2841.45
"2015-02-11","VN","Huế","pm25",24,74,161,96,9568.1
"2015-02-22","VN","Huế","pm25",24,63,98,70,806.07
"2015-05-17","VN","Huế","pm25",24,41,75,49,637.81
"2015-06-04","VN","Huế","pm25",24,37,68,54,925.2
"2015-06-26","VN","Huế","pm25",24,22,73,51,2039.55
"2015-01-15","VN","Huế","pm25",24,84,155,98,5131.72
"2015-03-08","VN","Huế","pm25",24,55,115,72,2838.68
"2015-03-13","VN","Huế","pm25",24,52,142,76,5800.27
"2015-07-05","VN","Huế","pm25",24,38,119,59,3924.28
"2015-04-01","VN","Huế","pm25",24,62,147,75,4395.63
"2015-05-10","VN","Huế","pm25",17,32,152,54,13627.8
"2015-06-17","VN","Huế","pm25",24,33,87,51,2106.67
"2015-04-10","VN","Huế","pm25",24,33,66,52,520.85
"2015-04-12","VN","Huế","pm25",24,25,105,53,7752.16
"2015-06-03","VN","Huế","pm25",24,28,68,46,1473.03
"2015-01-08","VN","Huế","pm25",24,71,122,100,2129.98
"2015-01-24","VN","Huế","pm25",24,97,164,140,5545.8
"2015-02-23","VN","Huế","pm25",24,49,145,63,3866.07
"2015-01-11","VN","Huế","pm25",24,20,63,42,1824.06
"2015-01-16","VN","Huế","pm25",24,75,154,97,6018.97
"2015-02-14","VN","Huế","pm25",24,83,159,113,4538.24
"2015-05-04","VN","Huế","pm25",24,52,88,61,928.68
"2015-06-10","VN","Huế","pm25",24,23,68,47,1542.61
"2015-06-15","VN","Huế","pm25",24,42,98,53,1611.14
"2015-02-16","VN","Huế","pm25",24,66,156,88,7895.2
"2015-03-14","VN","Huế","pm25",24,72,109,91,844.28
